IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.102.102,8880,false,SIN,Asia Pacific,Singapore,226 ms,4896 kB/s
8.219.235.164,80,false,SIN,Asia Pacific,Singapore,226 ms,4880 kB/s
47.236.10.100,2082,false,SIN,Asia Pacific,Singapore,231 ms,4879 kB/s
47.237.100.206,8880,false,SIN,Asia Pacific,Singapore,240 ms,4878 kB/s
47.237.0.31,2086,false,SIN,Asia Pacific,Singapore,219 ms,4872 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,228 ms,4862 kB/s
47.236.169.15,2095,false,SIN,Asia Pacific,Singapore,250 ms,4862 kB/s
8.219.107.135,8880,false,SIN,Asia Pacific,Singapore,224 ms,4854 kB/s
47.236.253.41,2095,false,SIN,Asia Pacific,Singapore,226 ms,4853 kB/s
47.236.9.152,2086,false,SIN,Asia Pacific,Singapore,235 ms,4851 kB/s
47.237.83.20,2052,false,SIN,Asia Pacific,Singapore,228 ms,4848 kB/s
47.236.97.90,2052,false,SIN,Asia Pacific,Singapore,233 ms,4848 kB/s
47.236.202.91,2082,false,SIN,Asia Pacific,Singapore,228 ms,4840 kB/s
47.237.86.185,2095,false,SIN,Asia Pacific,Singapore,239 ms,4831 kB/s
47.236.158.158,2095,false,SIN,Asia Pacific,Singapore,241 ms,4831 kB/s
8.222.144.50,8880,false,SIN,Asia Pacific,Singapore,223 ms,4831 kB/s
47.236.145.85,2095,false,SIN,Asia Pacific,Singapore,223 ms,4823 kB/s
47.236.254.120,2086,false,SIN,Asia Pacific,Singapore,227 ms,4820 kB/s
8.219.177.205,8080,false,SIN,Asia Pacific,Singapore,245 ms,4805 kB/s
47.237.100.206,2095,false,SIN,Asia Pacific,Singapore,226 ms,4802 kB/s
8.219.77.222,2086,false,SIN,Asia Pacific,Singapore,225 ms,4800 kB/s
47.237.82.15,2082,false,SIN,Asia Pacific,Singapore,221 ms,4796 kB/s
47.236.202.91,8880,false,SIN,Asia Pacific,Singapore,226 ms,4793 kB/s
47.236.145.85,2052,false,SIN,Asia Pacific,Singapore,236 ms,4786 kB/s
47.237.8.82,8880,false,SIN,Asia Pacific,Singapore,224 ms,4780 kB/s
47.236.167.231,2095,false,SIN,Asia Pacific,Singapore,230 ms,4776 kB/s
47.237.82.15,2052,false,SIN,Asia Pacific,Singapore,231 ms,4774 kB/s
47.236.180.51,2052,false,SIN,Asia Pacific,Singapore,231 ms,4768 kB/s
47.236.121.23,2086,false,SIN,Asia Pacific,Singapore,224 ms,4767 kB/s
47.236.118.216,2082,false,SIN,Asia Pacific,Singapore,245 ms,4757 kB/s
47.237.86.185,2052,false,SIN,Asia Pacific,Singapore,237 ms,4755 kB/s
47.236.93.176,8880,false,SIN,Asia Pacific,Singapore,236 ms,4751 kB/s
47.236.10.182,8080,false,SIN,Asia Pacific,Singapore,230 ms,4738 kB/s
47.236.144.156,8880,false,SIN,Asia Pacific,Singapore,229 ms,4731 kB/s
47.237.95.146,8080,false,SIN,Asia Pacific,Singapore,225 ms,4730 kB/s
47.236.170.54,8880,false,SIN,Asia Pacific,Singapore,223 ms,4725 kB/s
47.236.10.182,2086,false,SIN,Asia Pacific,Singapore,227 ms,4721 kB/s
8.222.208.38,2082,false,SIN,Asia Pacific,Singapore,224 ms,4715 kB/s
47.236.83.239,2095,false,SIN,Asia Pacific,Singapore,240 ms,4709 kB/s
47.236.75.113,8880,false,SIN,Asia Pacific,Singapore,227 ms,4709 kB/s
47.236.169.15,2052,false,SIN,Asia Pacific,Singapore,231 ms,4703 kB/s
47.236.167.231,2086,false,SIN,Asia Pacific,Singapore,228 ms,4701 kB/s
47.236.5.223,8880,false,SIN,Asia Pacific,Singapore,231 ms,4699 kB/s
47.236.169.15,8080,false,SIN,Asia Pacific,Singapore,242 ms,4696 kB/s
47.236.166.131,2082,false,SIN,Asia Pacific,Singapore,233 ms,4696 kB/s
47.236.180.51,2086,false,SIN,Asia Pacific,Singapore,231 ms,4691 kB/s
47.236.171.205,80,false,SIN,Asia Pacific,Singapore,250 ms,4685 kB/s
47.237.81.112,8080,false,SIN,Asia Pacific,Singapore,226 ms,4685 kB/s
47.236.202.91,2086,false,SIN,Asia Pacific,Singapore,224 ms,4681 kB/s
8.219.66.156,2095,false,NRT,Asia Pacific,Tokyo,294 ms,4672 kB/s
8.219.87.30,8880,false,SIN,Asia Pacific,Singapore,233 ms,4669 kB/s
47.236.10.182,8880,false,SIN,Asia Pacific,Singapore,242 ms,4668 kB/s
8.219.4.122,2082,false,SIN,Asia Pacific,Singapore,225 ms,4663 kB/s
47.236.205.188,2086,false,SIN,Asia Pacific,Singapore,227 ms,4657 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,226 ms,4653 kB/s
47.236.171.205,8080,false,SIN,Asia Pacific,Singapore,223 ms,4638 kB/s
47.237.95.156,2086,false,SIN,Asia Pacific,Singapore,222 ms,4622 kB/s
47.236.168.17,2052,false,SIN,Asia Pacific,Singapore,222 ms,4620 kB/s
47.236.17.193,2082,false,SIN,Asia Pacific,Singapore,235 ms,4614 kB/s
47.236.165.25,2086,false,SIN,Asia Pacific,Singapore,225 ms,4607 kB/s
8.219.66.156,2082,false,NRT,Asia Pacific,Tokyo,328 ms,4606 kB/s
47.237.95.156,8880,false,SIN,Asia Pacific,Singapore,222 ms,4601 kB/s
47.236.118.216,2095,false,SIN,Asia Pacific,Singapore,245 ms,4597 kB/s
47.236.144.196,2086,false,SIN,Asia Pacific,Singapore,230 ms,4594 kB/s
47.236.87.246,2095,false,SIN,Asia Pacific,Singapore,237 ms,4591 kB/s
8.219.66.156,80,false,NRT,Asia Pacific,Tokyo,298 ms,4582 kB/s
47.236.171.205,2052,false,SIN,Asia Pacific,Singapore,226 ms,4579 kB/s
47.236.237.90,8880,false,SIN,Asia Pacific,Singapore,236 ms,4576 kB/s
47.236.102.102,8080,false,SIN,Asia Pacific,Singapore,224 ms,4567 kB/s
47.237.14.220,2052,false,SIN,Asia Pacific,Singapore,223 ms,4567 kB/s
8.219.210.57,2052,false,SIN,Asia Pacific,Singapore,225 ms,4563 kB/s
47.237.14.220,2082,false,SIN,Asia Pacific,Singapore,229 ms,4559 kB/s
47.236.144.156,2095,false,SIN,Asia Pacific,Singapore,243 ms,4557 kB/s
47.236.174.206,2052,false,SIN,Asia Pacific,Singapore,247 ms,4556 kB/s
8.219.122.55,2086,false,SIN,Asia Pacific,Singapore,236 ms,4547 kB/s
47.236.169.164,8080,false,SIN,Asia Pacific,Singapore,226 ms,4538 kB/s
47.236.150.13,2082,false,SIN,Asia Pacific,Singapore,229 ms,4536 kB/s
8.219.142.191,2082,false,SIN,Asia Pacific,Singapore,244 ms,4531 kB/s
47.236.144.196,2052,false,SIN,Asia Pacific,Singapore,229 ms,4529 kB/s
47.237.0.31,2082,false,SIN,Asia Pacific,Singapore,236 ms,4525 kB/s
47.236.171.205,2086,false,SIN,Asia Pacific,Singapore,242 ms,4520 kB/s
8.222.136.247,2082,false,SIN,Asia Pacific,Singapore,228 ms,4514 kB/s
8.222.208.38,2086,false,SIN,Asia Pacific,Singapore,224 ms,4512 kB/s
47.236.149.107,8080,false,SIN,Asia Pacific,Singapore,222 ms,4493 kB/s
47.236.17.193,80,false,SIN,Asia Pacific,Singapore,232 ms,4488 kB/s
47.236.169.15,8880,false,SIN,Asia Pacific,Singapore,241 ms,4485 kB/s
47.236.158.158,8080,false,SIN,Asia Pacific,Singapore,229 ms,4472 kB/s
47.236.83.239,80,false,SIN,Asia Pacific,Singapore,226 ms,4464 kB/s
47.236.165.25,2095,false,SIN,Asia Pacific,Singapore,222 ms,4449 kB/s
47.237.84.173,8080,false,SIN,Asia Pacific,Singapore,219 ms,4439 kB/s
8.219.142.191,2095,false,SIN,Asia Pacific,Singapore,224 ms,4427 kB/s
47.236.118.216,80,false,SIN,Asia Pacific,Singapore,229 ms,4421 kB/s
47.236.172.71,2082,false,SIN,Asia Pacific,Singapore,227 ms,4414 kB/s
47.236.169.15,80,false,SIN,Asia Pacific,Singapore,230 ms,4397 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,244 ms,4395 kB/s
47.236.169.141,8880,false,SIN,Asia Pacific,Singapore,222 ms,4383 kB/s
47.236.166.131,80,false,SIN,Asia Pacific,Singapore,237 ms,4383 kB/s
8.222.136.247,2086,false,SIN,Asia Pacific,Singapore,239 ms,4375 kB/s
47.236.150.13,2095,false,SIN,Asia Pacific,Singapore,247 ms,4336 kB/s
47.236.93.176,2086,false,SIN,Asia Pacific,Singapore,234 ms,4327 kB/s
8.219.87.30,80,false,SIN,Asia Pacific,Singapore,238 ms,4327 kB/s
47.236.167.231,8880,false,SIN,Asia Pacific,Singapore,229 ms,4319 kB/s
47.236.165.25,80,false,SIN,Asia Pacific,Singapore,229 ms,4310 kB/s
47.236.93.176,2052,false,SIN,Asia Pacific,Singapore,244 ms,4294 kB/s
47.236.10.100,2052,false,SIN,Asia Pacific,Singapore,227 ms,4287 kB/s
47.236.150.13,80,false,SIN,Asia Pacific,Singapore,247 ms,4285 kB/s
47.236.168.17,2082,false,SIN,Asia Pacific,Singapore,230 ms,4278 kB/s
47.237.84.173,2082,false,SIN,Asia Pacific,Singapore,228 ms,4258 kB/s
47.236.167.231,80,false,SIN,Asia Pacific,Singapore,227 ms,4257 kB/s
47.236.102.102,2086,false,SIN,Asia Pacific,Singapore,230 ms,4242 kB/s
47.237.95.146,2095,false,SIN,Asia Pacific,Singapore,240 ms,4240 kB/s
47.236.167.231,2052,false,SIN,Asia Pacific,Singapore,227 ms,4240 kB/s
47.237.0.31,8880,false,SIN,Asia Pacific,Singapore,228 ms,4235 kB/s
8.219.6.150,8080,false,SIN,Asia Pacific,Singapore,226 ms,4229 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,243 ms,4223 kB/s
8.219.107.135,80,false,SIN,Asia Pacific,Singapore,225 ms,4217 kB/s
47.236.144.156,80,false,SIN,Asia Pacific,Singapore,222 ms,4217 kB/s
47.237.95.13,2082,false,SIN,Asia Pacific,Singapore,242 ms,4216 kB/s
47.236.102.102,2095,false,SIN,Asia Pacific,Singapore,229 ms,4208 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,224 ms,4202 kB/s
47.237.10.1,2052,false,SIN,Asia Pacific,Singapore,222 ms,4199 kB/s
47.88.85.197,2095,false,SJC,North America,San Jose,171 ms,4188 kB/s
47.236.121.23,2082,false,SIN,Asia Pacific,Singapore,239 ms,4184 kB/s
47.236.121.23,8080,false,SIN,Asia Pacific,Singapore,245 ms,4182 kB/s
47.236.170.54,80,false,SIN,Asia Pacific,Singapore,229 ms,4178 kB/s
8.222.208.38,80,false,SIN,Asia Pacific,Singapore,225 ms,4160 kB/s
47.236.144.156,8080,false,SIN,Asia Pacific,Singapore,235 ms,4158 kB/s
47.236.104.11,2082,false,SIN,Asia Pacific,Singapore,243 ms,4155 kB/s
47.236.158.158,2082,false,SIN,Asia Pacific,Singapore,221 ms,4148 kB/s
47.236.172.71,8880,false,SIN,Asia Pacific,Singapore,223 ms,4142 kB/s
8.219.191.110,2095,false,SIN,Asia Pacific,Singapore,242 ms,4133 kB/s
47.236.102.102,2082,false,SIN,Asia Pacific,Singapore,244 ms,4107 kB/s
47.236.121.23,80,false,SIN,Asia Pacific,Singapore,238 ms,4105 kB/s
47.236.104.11,80,false,SIN,Asia Pacific,Singapore,243 ms,4099 kB/s
47.237.92.26,80,false,SIN,Asia Pacific,Singapore,243 ms,4097 kB/s
47.236.202.91,2052,false,SIN,Asia Pacific,Singapore,238 ms,4091 kB/s
47.237.86.185,2086,false,SIN,Asia Pacific,Singapore,231 ms,4074 kB/s
8.222.136.247,2052,false,SIN,Asia Pacific,Singapore,236 ms,4071 kB/s
8.219.107.135,2086,false,SIN,Asia Pacific,Singapore,233 ms,4059 kB/s
47.237.95.13,8880,false,SIN,Asia Pacific,Singapore,234 ms,4054 kB/s
47.236.146.249,8880,false,SIN,Asia Pacific,Singapore,238 ms,4039 kB/s
47.236.168.17,8080,false,SIN,Asia Pacific,Singapore,226 ms,4037 kB/s
47.236.145.85,8880,false,SIN,Asia Pacific,Singapore,237 ms,4036 kB/s
47.236.144.48,8880,false,SIN,Asia Pacific,Singapore,226 ms,4034 kB/s
8.219.210.57,2086,false,SIN,Asia Pacific,Singapore,224 ms,3987 kB/s
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,224 ms,3977 kB/s
47.237.81.112,2086,false,SIN,Asia Pacific,Singapore,224 ms,3970 kB/s
47.236.167.231,2082,false,SIN,Asia Pacific,Singapore,235 ms,3965 kB/s
47.237.84.173,80,false,SIN,Asia Pacific,Singapore,221 ms,3951 kB/s
8.219.210.57,80,false,SIN,Asia Pacific,Singapore,220 ms,3939 kB/s
47.236.150.13,8880,false,SIN,Asia Pacific,Singapore,231 ms,3934 kB/s
47.236.167.231,8080,false,SIN,Asia Pacific,Singapore,233 ms,3933 kB/s
47.236.166.131,2095,false,SIN,Asia Pacific,Singapore,230 ms,3928 kB/s
47.236.171.205,2095,false,SIN,Asia Pacific,Singapore,218 ms,3912 kB/s
47.236.123.133,2086,false,SIN,Asia Pacific,Singapore,227 ms,3879 kB/s
47.236.171.205,8880,false,SIN,Asia Pacific,Singapore,227 ms,3857 kB/s
47.236.172.71,2095,false,SIN,Asia Pacific,Singapore,231 ms,3852 kB/s
47.236.144.48,8080,false,SIN,Asia Pacific,Singapore,221 ms,3850 kB/s
47.236.104.11,2095,false,SIN,Asia Pacific,Singapore,236 ms,3847 kB/s
47.236.174.206,2095,false,SIN,Asia Pacific,Singapore,222 ms,3794 kB/s
8.219.124.227,2052,false,SIN,Asia Pacific,Singapore,245 ms,3783 kB/s
47.237.14.220,8880,false,SIN,Asia Pacific,Singapore,251 ms,3769 kB/s
47.236.10.100,2086,false,SIN,Asia Pacific,Singapore,250 ms,3742 kB/s
47.236.149.107,2082,false,SIN,Asia Pacific,Singapore,254 ms,3724 kB/s
47.237.95.146,2082,false,SIN,Asia Pacific,Singapore,243 ms,3720 kB/s
8.219.153.237,80,false,NRT,Asia Pacific,Tokyo,309 ms,3702 kB/s
47.236.104.11,2086,false,SIN,Asia Pacific,Singapore,241 ms,3700 kB/s
47.237.84.173,2052,false,SIN,Asia Pacific,Singapore,228 ms,3687 kB/s
47.236.144.196,80,false,SIN,Asia Pacific,Singapore,225 ms,3684 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,243 ms,3676 kB/s
47.236.10.182,2082,false,SIN,Asia Pacific,Singapore,231 ms,3671 kB/s
47.237.95.13,2095,false,SIN,Asia Pacific,Singapore,239 ms,3671 kB/s
47.236.149.107,80,false,SIN,Asia Pacific,Singapore,234 ms,3627 kB/s
47.236.104.11,8080,false,SIN,Asia Pacific,Singapore,248 ms,3576 kB/s
47.237.95.156,2052,false,SIN,Asia Pacific,Singapore,239 ms,3538 kB/s
8.222.164.209,8080,false,SIN,Asia Pacific,Singapore,225 ms,3537 kB/s
8.222.164.209,2095,false,SIN,Asia Pacific,Singapore,216 ms,3537 kB/s
47.236.121.23,8880,false,SIN,Asia Pacific,Singapore,240 ms,3534 kB/s
47.236.165.25,8880,false,SIN,Asia Pacific,Singapore,239 ms,3530 kB/s
47.236.123.133,2082,false,SIN,Asia Pacific,Singapore,242 ms,3518 kB/s
47.236.93.176,80,false,SIN,Asia Pacific,Singapore,231 ms,3496 kB/s
47.236.172.71,2086,false,SIN,Asia Pacific,Singapore,229 ms,3462 kB/s
47.236.165.25,8080,false,SIN,Asia Pacific,Singapore,218 ms,3425 kB/s
47.236.10.182,2095,false,SIN,Asia Pacific,Singapore,243 ms,3400 kB/s
47.236.172.71,80,false,SIN,Asia Pacific,Singapore,231 ms,3362 kB/s
8.219.191.40,8080,false,SIN,Asia Pacific,Singapore,224 ms,3347 kB/s
8.222.208.38,8880,false,SIN,Asia Pacific,Singapore,225 ms,3333 kB/s
8.222.164.209,8880,false,SIN,Asia Pacific,Singapore,233 ms,3313 kB/s
8.219.124.227,8080,false,SIN,Asia Pacific,Singapore,221 ms,3276 kB/s
8.219.77.222,80,false,SIN,Asia Pacific,Singapore,241 ms,3266 kB/s
47.236.118.216,8080,false,SIN,Asia Pacific,Singapore,246 ms,3223 kB/s
47.236.166.131,8080,false,SIN,Asia Pacific,Singapore,224 ms,3221 kB/s
8.219.77.222,8880,false,SIN,Asia Pacific,Singapore,230 ms,3100 kB/s
47.236.202.91,8080,false,SIN,Asia Pacific,Singapore,226 ms,3067 kB/s
8.222.136.247,2095,false,SIN,Asia Pacific,Singapore,242 ms,3033 kB/s
47.236.10.100,80,false,SIN,Asia Pacific,Singapore,232 ms,2982 kB/s
47.236.97.90,2086,false,SIN,Asia Pacific,Singapore,233 ms,2962 kB/s
8.219.77.222,2082,false,SIN,Asia Pacific,Singapore,230 ms,2958 kB/s
47.76.77.103,80,false,HKG,Asia Pacific,Hong Kong,62 ms,2926 kB/s
47.90.141.204,80,false,LAX,North America,Los Angeles,252 ms,2882 kB/s
8.219.77.222,8080,false,SIN,Asia Pacific,Singapore,244 ms,2815 kB/s
8.219.77.222,2095,false,SIN,Asia Pacific,Singapore,226 ms,2758 kB/s
8.219.66.156,2086,false,NRT,Asia Pacific,Tokyo,310 ms,2734 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,245 ms,2701 kB/s
47.236.97.90,80,false,SIN,Asia Pacific,Singapore,242 ms,2591 kB/s
47.236.170.225,2086,false,SIN,Asia Pacific,Singapore,216 ms,2556 kB/s
8.222.164.209,80,false,SIN,Asia Pacific,Singapore,237 ms,2554 kB/s
47.236.170.225,8880,false,SIN,Asia Pacific,Singapore,224 ms,2393 kB/s
47.236.170.225,2052,false,SIN,Asia Pacific,Singapore,222 ms,2363 kB/s
47.236.170.225,80,false,SIN,Asia Pacific,Singapore,226 ms,2338 kB/s
47.236.146.249,80,false,SIN,Asia Pacific,Singapore,227 ms,1957 kB/s
8.219.66.156,8080,false,NRT,Asia Pacific,Tokyo,309 ms,1849 kB/s
47.236.125.62,2082,false,NRT,Asia Pacific,Tokyo,298 ms,1822 kB/s
47.76.32.108,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,1747 kB/s
47.76.32.108,80,false,HKG,Asia Pacific,Hong Kong,65 ms,1591 kB/s
47.236.125.62,2086,false,NRT,Asia Pacific,Tokyo,300 ms,1533 kB/s
47.251.74.226,80,false,LAX,North America,Los Angeles,174 ms,1335 kB/s
47.76.94.15,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,1316 kB/s
47.236.125.62,2052,false,NRT,Asia Pacific,Tokyo,315 ms,1238 kB/s
8.209.119.190,80,false,SJC,North America,San Jose,265 ms,1211 kB/s
47.236.125.62,80,false,NRT,Asia Pacific,Tokyo,305 ms,1164 kB/s
47.236.125.62,8880,false,NRT,Asia Pacific,Tokyo,294 ms,934 kB/s
8.219.142.191,80,false,SIN,Asia Pacific,Singapore,250 ms,927 kB/s
47.76.77.103,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,668 kB/s
47.236.93.176,8080,false,SIN,Asia Pacific,Singapore,224 ms,575 kB/s
47.236.125.62,2095,false,NRT,Asia Pacific,Tokyo,294 ms,475 kB/s
8.210.207.214,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,446 kB/s
47.76.94.15,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,410 kB/s
8.218.22.210,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,366 kB/s
8.219.153.237,8080,false,NRT,Asia Pacific,Tokyo,302 ms,357 kB/s
47.57.245.232,80,false,SJC,North America,San Jose,67 ms,349 kB/s
8.218.22.210,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,207 kB/s
8.218.22.210,2095,false,HKG,Asia Pacific,Hong Kong,55 ms,191 kB/s
47.76.77.103,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,136 kB/s
8.218.22.210,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,71 kB/s
47.57.13.107,80,false,HKG,Asia Pacific,Hong Kong,77 ms,10 kB/s
47.236.123.133,80,false,SIN,Asia Pacific,Singapore,243 ms,0 kB/s
8.210.207.214,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
8.210.207.214,80,false,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
8.210.207.214,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,0 kB/s
8.219.107.135,2052,false,SIN,Asia Pacific,Singapore,250 ms,0 kB/s
47.237.94.140,8080,false,SIN,Asia Pacific,Singapore,228 ms,0 kB/s
47.76.94.15,80,false,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.76.94.15,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.77.103,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,246 ms,0 kB/s
47.236.237.90,80,false,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
47.236.168.17,2095,false,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.237.82.15,8880,false,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
8.219.77.222,2052,false,SIN,Asia Pacific,Singapore,228 ms,0 kB/s
47.236.144.208,2052,false,SIN,Asia Pacific,Singapore,221 ms,0 kB/s
47.236.169.164,2086,false,SIN,Asia Pacific,Singapore,225 ms,0 kB/s
47.237.84.173,8880,false,SIN,Asia Pacific,Singapore,223 ms,0 kB/s
47.236.149.107,2095,false,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
